,,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul
Nova Scotia,"5226 - Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,--,5
Nova Scotia,"5227 - Support occupations in motion pictures, broadcasting, photography and the performing arts",0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,10,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,5231 - Announcers and other broadcasters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0
Nova Scotia,"5232 - Other performers, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,5241 - Graphic designers and illustrators,0,0,--,--,--,0,0,0,--,--,--,0,--,--,0,0,0,--,0,--,--,5,5,--,5,5,--,--,5,--,--,--,--,10,5,--,5,--,--,--,--,10,--,--,0,--,0,0,5,--,--,--,--,--,--,--,--,--,--,5,--,0,0,0,--,--,0,0,--,0,0,--,0,0,0,0,0,--,--,--,0,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,--,0,--,--,--,0,0,--,--,--,0
Nova Scotia,5242 - Interior designers and interior decorators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,--,--,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0
Nova Scotia,"5243 - Theatre, fashion, exhibit and other creative designers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--
Nova Scotia,5244 - Artisans and craftspersons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0
Nova Scotia,"5245 - Patternmakers - textile, leather and fur products",0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,5251 - Athletes,0,--,0,0,0,0,0,0,0,0,10,--,0,--,--,0,0,0,0,0,0,0,0,20,--,--,--,0,0,0,0,--,0,--,10,--,0,0,0,0,0,0,0,0,0,20,5,--,--,--,10,--,0,0,0,0,0,0,0,10,--,--,--,0,0,0,--,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,--,--,--,0,--,0,0,0,--,0,0,0,0,0,--,5,--,0,0,--,0,0,0,--,0,0,--,0,0,0,0,0
Nova Scotia,5252 - Coaches,--,0,0,0,0,0,0,0,0,0,--,0,0,--,--,0,0,0,0,0,0,0,0,--,0,--,0,0,0,--,0,--,--,--,--,0,0,0,0,0,--,0,0,--,0,--,--,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,--,0,--,--,0,0,0,--,--,--,0,0,0,--,0,0,0,0,0,0,--,--,0,0,--,--,0,--,0,0,0,0,--,0,0,0,0,--
Nova Scotia,5253 - Sports officials and referees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0
Nova Scotia,"5254 - Program leaders and instructors in recreation, sport and fitness",0,0,0,10,0,10,--,--,0,0,0,0,0,0,0,0,10,5,0,--,0,0,0,0,0,0,0,--,--,15,--,0,--,0,0,0,0,0,0,--,--,20,--,0,0,0,0,0,0,0,0,--,--,30,--,--,--,0,--,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,--,35,--,--,0,0,0,0,0,--,0,--,--,30,--,--,0,5,0,0,--,0,0,--,--,25,--
Nova Scotia,6211 - Retail sales supervisors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,--,0,0,--,--,0,0,0,0,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,--,0,--,0,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,--,--,0,0,--,0,--,--,0,--,10,5,5,--,10
Nova Scotia,6221 - Technical sales specialists - wholesale trade,--,0,0,0,0,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,--,0,0,0,0,--,0,0,--,0,--,0,0,0,0,--,0,0,0,0,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,0,0,--,0,--,--,0,0,0,0,--,--,--,--,0,0,--,0,--,0,0,0,--,0,--,--,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,--,--,--,0
Nova Scotia,6222 - Retail and wholesale buyers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0
Nova Scotia,6231 - Insurance agents and brokers,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0
Nova Scotia,6235 - Financial sales representatives,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6311 - Food service supervisors,5,0,--,--,--,--,--,0,0,5,--,10,--,5,--,10,--,5,5,--,--,5,5,--,--,--,--,5,--,0,--,--,5,10,5,5,10,5,10,5,--,5,--,5,10,10,10,--,15,10,15,15,15,10,5,10,5,10,5,10,10,5,--,--,10,--,5,5,10,10,25,10,15,15,10,5,5,10,5,10,5,5,10,5,10,10,5,5,5,10,10,10,10,15,10,--,--,--,5,10,20,20,20,20,25,10,15,10,10,15,20,25,20,20,10
Nova Scotia,6312 - Executive housekeepers,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0
Nova Scotia,"6313 - Accommodation, travel, tourism and related services supervisors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,--,0,0,0,0,0,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,--,0,0,0,--,0,0,0,0,--,0,0,--,0
Nova Scotia,6314 - Customer and information services supervisors,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,--,0,0,0,--,0,0,0,0,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6315 - Cleaning supervisors,0,0,--,0,0,0,0,0,0,0,0,--,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,0,--,0,0,0,0,0,--,--,--,--,0,0,--,--,0,--,0,0,--,0,0,0,0,--,--,0,0,--,0,--,--,--,--,--,--,--
Nova Scotia,6316 - Other services supervisors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,--
Nova Scotia,6321 - Chefs,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,--,0,0,0,--,0,0,--,0,--,0,--,--,--,0,0,--,--,--,--,--,0,0,0,0,0,--,--,0,--,0,0,--,0,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,--,0,--,0,0,--,--,0,0,0,--,0,0,--,0,0,0,0,0,--,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--
Nova Scotia,6322 - Cooks,--,0,5,--,--,10,5,--,--,--,5,--,--,5,5,5,--,--,5,--,10,--,--,5,--,--,--,--,10,--,--,--,5,5,10,--,5,--,--,--,10,5,5,10,5,--,--,5,5,--,5,5,15,10,10,5,5,5,10,5,10,5,--,--,5,5,5,--,10,5,15,10,10,15,15,10,5,10,5,10,5,5,5,--,5,--,10,10,--,10,5,10,15,5,--,5,5,10,10,10,15,20,10,5,15,15,10,10,15,10,5,20,15,15,5
Nova Scotia,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,--,0,0,0,0,0,0,--,0,0,0,--,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,--,0,0,0,0,--,0,0,0,0,0,0,--,0,--,0,--,--,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,--,--,--,0,0
Nova Scotia,6332 - Bakers,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,0,--,0,0,0,--,0,0,--,--,--,0,0,--,--,0,--,--,--,0,0,--,0,--,--,--,--,--,0,0,0,--,--,0,--,0,0,0,0,0,--,--,--,--,--,--,0,--,--,0,0,0,0,--,0,0,--,--,--,--,--,0,0,--,0,--,0,0,0,--,--,--
Nova Scotia,6341 - Hairstylists and barbers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,0,0,--,0,--,0,0,0,0,0,--,0,0,0,0,--,--,--,--,0,--,--,0,--,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,0,0,0,0,0,0,--,0,0,--,0,0,0,--,0,--,--,--,--,--,0,0,0,0,--,--,--,--,--
Nova Scotia,"6342 - Tailors, dressmakers, furriers and milliners",0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6345 - Upholsterers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0
Nova Scotia,6411 - Sales and account representatives - wholesale trade (non-technical),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,--,--,0,0,0,--,0,0,--,0,--,--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,--,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6421 - Retail salespersons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,--,--,0,--,0,--,--,--,--,--,0,--,--,--,0,0,--,0,0,--,0,0,0,--,0,0,--,0,0,0,0,0,--,0,0,--,--,--,0,0,--,--,--,0,0,--
Nova Scotia,6511 - Maîtres d'hôtel and hosts/hostesses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6512 - Bartenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6513 - Food and beverage servers,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,--,0,0,0,--,--,--,0,--,--,0,0,0,0,0,--,--,--,--,0,0,0,0,--,--,0,--,--,0,0,0,--,0,--,--,--,--,0,--,--,0,--,--,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,0,--,--,0,--,--,--,--,--,--,0,0,--,0,--
Nova Scotia,6521 - Travel counsellors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6523 - Airline ticket and service agents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6525 - Hotel front desk clerks,--,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,--,0,0,--,--,--,0,--,0,0,0,0,0,--,--,0,--,0,0,0,0,0,0,--,0,0,--,--,0,--,--,--,0,0,0,--,0,0,0,0,0,--,--,--,--,0,--,--,--,0,0,0,--,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,--,0,0,--,--,--,--,0,0,0,0,0,--,0,0,0,--,--,0
Nova Scotia,6531 - Tour and travel guides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6532 - Outdoor sport and recreational guides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,--
Nova Scotia,6533 - Casino occupations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6541 - Security guards and related security service occupations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,--,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,--,--,--,10
Nova Scotia,6551 - Customer services representatives - financial institutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,--,--,--,0,--,0,0,--,0,--,0,0,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0
Nova Scotia,6552 - Other customer and information services representatives,0,0,0,0,0,0,0,--,0,0,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,--,0,--,0,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,0,--,--,--,--,--,0,--,0,--,0,--,--,0,0,0,0,--,--,--,--,--,--,0,--,--
Nova Scotia,"6562 - Estheticians, electrologists and related occupations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,0,--,0,0,0,0
Nova Scotia,6564 - Other personal service occupations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,6621 - Service station attendants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,"6711 - Food counter attendants, kitchen helpers and related support occupations",--,0,--,--,--,--,0,0,0,0,--,0,0,5,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,--,--,0,5,5,5,10,15,5,5,10,5,5,10,5,10,--,10,10,10,10
Nova Scotia,6731 - Light duty cleaners,0,0,0,0,0,--,0,--,0,0,0,0,--,--,--,0,--,--,0,0,0,0,0,0,0,--,--,0,--,0,0,0,0,0,0,--,0,--,0,0,--,0,0,--,0,0,0,0,--,0,0,--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,--,0,--,0,0,0,0,0,--,--,0,0,0,0,--,--,--,0,0,0,0,0,--,0,0,--,5,--,--,--,--,--,--,--,0,5,--,--,--,--
Nova Scotia,6732 - Specialized cleaners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,"6733 - Janitors, caretakers and building superintendents",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0
