Year,Province,Location,New Housing Price Index,Avg_Value,Number_of_Study_Permits_Issued,Study_Permit_To_Value_Impact_Metric,Total_Workers_Count,Number_of_Class_Titles,Most_Common_Class_Title,Workers_To_Housing_Impact_Ratio,Combined_Impact_Ratio,Avg_Total_CPI,Avg_Total_CPI_Seasonally_Adjusted,Avg_STATIC_TOTALCPICHANGE,Avg_CPI_TRIM,Avg_CPI_MEDIAN
2020,Prince Edward Island,"Charlottetown, Prince Edward Island",House only,103.67,105815.0,1020.69,1185.0,250.0,0011 - Legislators,11.43,516.06,136.96,136.95,0.73,1.77,1.88
2022,New Brunswick,New Brunswick,House only,120.25,168235.0,1399.04,5690.0,369.0,"0013 - Senior managers - financial, communications and other business services",47.32,723.18,151.24,151.24,6.8,5.25,4.84
2022,British Columbia,"Victoria, British Columbia",Land only,110.25,168235.0,1525.94,12545.0,470.0,0011 - Legislators,113.79,819.87,151.24,151.24,6.8,5.25,4.84
2023,Saskatchewan,"Saskatoon, Saskatchewan",Land only,94.08,181960.0,1934.1,7140.0,386.0,0012 - Senior government managers and officials,75.89,1005.0,157.11,157.11,3.89,3.89,4.02
2023,British Columbia,"Vancouver, British Columbia",Land only,121.08,181960.0,1502.81,13760.0,470.0,0011 - Legislators,113.64,808.23,157.11,157.11,3.89,3.89,4.02
2015,Ontario,"Greater Sudbury, Ontario",Land only,99.0,96265.0,972.37,23515.0,475.0,0011 - Legislators,237.53,604.95,126.57,126.56,1.13,1.63,1.77
2017,Prince Edward Island,"Charlottetown, Prince Edward Island",Total (house and land),99.83,108870.0,1090.55,730.0,250.0,0011 - Legislators,7.31,548.93,130.42,130.43,1.6,1.44,1.63
2017,Ontario,"Kitchener-Cambridge-Waterloo, Ontario",Land only,103.42,108870.0,1052.7,26770.0,475.0,0011 - Legislators,258.85,655.78,130.42,130.43,1.6,1.44,1.63
2017,Saskatchewan,Saskatchewan,Total (house and land),99.25,108870.0,1096.93,4950.0,386.0,0012 - Senior government managers and officials,49.87,573.4,130.42,130.43,1.6,1.44,1.63
2020,Manitoba,"Winnipeg, Manitoba",Land only,102.83,105815.0,1029.03,7230.0,409.0,0012 - Senior government managers and officials,70.31,549.67,136.96,136.95,0.73,1.77,1.88
2020,Saskatchewan,"Regina, Saskatchewan",Total (house and land),92.17,105815.0,1148.04,4500.0,386.0,0012 - Senior government managers and officials,48.82,598.43,136.96,136.95,0.73,1.77,1.88
2021,Ontario,"Toronto, Ontario",Total (house and land),110.08,152280.0,1383.36,22675.0,475.0,0011 - Legislators,205.99,794.68,141.61,141.61,3.4,2.91,2.65
2021,Manitoba,Manitoba,Land only,106.67,152280.0,1427.58,7220.0,409.0,0012 - Senior government managers and officials,67.69,747.64,141.61,141.61,3.4,2.91,2.65
2021,Alberta,"Calgary, Alberta",House only,106.0,152280.0,1436.6,3710.0,436.0,0011 - Legislators,35.0,735.8,141.61,141.61,3.4,2.91,2.65
2023,Alberta,"Edmonton, Alberta",Land only,101.67,181960.0,1789.71,6605.0,436.0,0011 - Legislators,64.97,927.34,157.11,157.11,3.89,3.89,4.02
2015,Quebec,"Montréal, Quebec",Land only,98.83,96265.0,974.05,13220.0,482.0,0011 - Legislators,133.77,553.91,126.57,126.56,1.13,1.63,1.77
2015,Ontario,"Guelph, Ontario",Total (house and land),0.0,96265.0,,23515.0,475.0,0011 - Legislators,,,126.57,126.56,1.13,1.63,1.77
2015,Saskatchewan,Saskatchewan,House only,102.33,96265.0,940.73,4945.0,386.0,0012 - Senior government managers and officials,48.32,494.53,126.57,126.56,1.13,1.63,1.77
2016,Prince Edward Island,"Charlottetown, Prince Edward Island",Land only,99.75,103720.0,1039.8,610.0,250.0,0011 - Legislators,6.12,522.96,128.37,128.38,1.44,1.82,1.99
2017,Ontario,"Oshawa, Ontario",Land only,103.33,108870.0,1053.61,26770.0,475.0,0011 - Legislators,259.07,656.34,130.42,130.43,1.6,1.44,1.63
2019,Quebec,"Québec, Quebec",Total (house and land),100.0,126555.0,1265.55,22435.0,482.0,0011 - Legislators,224.35,744.95,135.98,135.97,1.94,2.05,2.01
2021,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",Total (house and land),101.67,152280.0,1497.79,1535.0,310.0,0012 - Senior government managers and officials,15.1,756.44,141.61,141.61,3.4,2.91,2.65
2022,Alberta,Alberta,House only,120.67,168235.0,1394.17,5205.0,436.0,0011 - Legislators,43.13,718.65,151.24,151.24,6.8,5.25,4.84
2016,Ontario,"Greater Sudbury, Ontario",Total (house and land),99.17,103720.0,1045.88,25565.0,475.0,0011 - Legislators,257.79,651.84,128.37,128.38,1.44,1.82,1.99
2016,Ontario,"Greater Sudbury, Ontario",House only,98.67,103720.0,1051.18,25565.0,475.0,0011 - Legislators,259.1,655.14,128.37,128.38,1.44,1.82,1.99
2017,Nova Scotia,Nova Scotia,Land only,99.25,108870.0,1096.93,2900.0,391.0,0012 - Senior government managers and officials,29.22,563.08,130.42,130.43,1.6,1.44,1.63
2017,British Columbia,"Kelowna, British Columbia",Total (house and land),101.25,108870.0,1075.26,10470.0,470.0,0011 - Legislators,103.41,589.34,130.42,130.43,1.6,1.44,1.63
2018,Alberta,"Calgary, Alberta",House only,98.58,117625.0,1193.19,5060.0,436.0,0011 - Legislators,51.33,622.26,133.38,133.36,2.27,1.94,1.88
2019,Prince Edward Island,"Charlottetown, Prince Edward Island",Land only,100.0,126555.0,1265.55,1490.0,250.0,0011 - Legislators,14.9,640.23,135.98,135.97,1.94,2.05,2.01
2020,Prince Edward Island,Prince Edward Island,House only,103.67,105815.0,1020.69,1185.0,250.0,0011 - Legislators,11.43,516.06,136.96,136.95,0.73,1.77,1.88
2022,Alberta,"Calgary, Alberta",Land only,106.67,168235.0,1577.15,5205.0,436.0,0011 - Legislators,48.8,812.98,151.24,151.24,6.8,5.25,4.84
2015,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",House only,99.83,96265.0,964.29,930.0,310.0,0012 - Senior government managers and officials,9.32,486.81,126.57,126.56,1.13,1.63,1.77
2016,Saskatchewan,Saskatchewan,Land only,99.42,103720.0,1043.25,6020.0,386.0,0012 - Senior government managers and officials,60.55,551.9,128.37,128.38,1.44,1.82,1.99
2017,Quebec,"Montréal, Quebec",House only,100.5,108870.0,1083.28,15475.0,482.0,0011 - Legislators,153.98,618.63,130.42,130.43,1.6,1.44,1.63
2017,Ontario,Ontario,House only,102.08,108870.0,1066.52,26770.0,475.0,0011 - Legislators,262.25,664.39,130.42,130.43,1.6,1.44,1.63
2017,Ontario,"Hamilton, Ontario",Total (house and land),101.92,108870.0,1068.19,26770.0,475.0,0011 - Legislators,262.66,665.43,130.42,130.43,1.6,1.44,1.63
2019,Quebec,"Trois-Rivières, Quebec",House only,101.75,126555.0,1243.78,22435.0,482.0,0011 - Legislators,220.49,732.14,135.98,135.97,1.94,2.05,2.01
2021,Quebec,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),114.0,152280.0,1335.79,17550.0,482.0,0011 - Legislators,153.95,744.87,141.61,141.61,3.4,2.91,2.65
2022,Prince Edward Island,"Charlottetown, Prince Edward Island",Land only,103.83,168235.0,1620.29,2290.0,250.0,0011 - Legislators,22.06,821.18,151.24,151.24,6.8,5.25,4.84
2022,Ontario,"Guelph, Ontario",House only,134.0,168235.0,1255.49,29435.0,475.0,0011 - Legislators,219.66,737.58,151.24,151.24,6.8,5.25,4.84
2023,Prince Edward Island,"Charlottetown, Prince Edward Island",House only,127.0,181960.0,1432.76,3435.0,250.0,0011 - Legislators,27.05,729.91,157.11,157.11,3.89,3.89,4.02
2023,Manitoba,"Winnipeg, Manitoba",Land only,109.92,181960.0,1655.39,1145.0,409.0,0012 - Senior government managers and officials,10.42,832.91,157.11,157.11,3.89,3.89,4.02
2023,Alberta,"Calgary, Alberta",Total (house and land),125.75,181960.0,1447.0,6605.0,436.0,0011 - Legislators,52.52,749.76,157.11,157.11,3.89,3.89,4.02
2015,Newfoundland and Labrador,Newfoundland and Labrador,Total (house and land),99.5,96265.0,967.49,930.0,310.0,0012 - Senior government managers and officials,9.35,488.42,126.57,126.56,1.13,1.63,1.77
2015,British Columbia,British Columbia,Land only,99.0,96265.0,972.37,7465.0,470.0,0011 - Legislators,75.4,523.89,126.57,126.56,1.13,1.63,1.77
2021,British Columbia,British Columbia,House only,118.25,152280.0,1287.78,9615.0,470.0,0011 - Legislators,81.31,684.55,141.61,141.61,3.4,2.91,2.65
2017,Ontario,Ontario,Land only,104.67,108870.0,1040.13,26770.0,475.0,0011 - Legislators,255.76,647.95,130.42,130.43,1.6,1.44,1.63
2017,Saskatchewan,Saskatchewan,Land only,99.58,108870.0,1093.29,4950.0,386.0,0012 - Senior government managers and officials,49.71,571.5,130.42,130.43,1.6,1.44,1.63
2018,Nova Scotia,"Halifax, Nova Scotia",Total (house and land),101.17,117625.0,1162.65,3115.0,391.0,0012 - Senior government managers and officials,30.79,596.72,133.38,133.36,2.27,1.94,1.88
2020,Quebec,"Trois-Rivières, Quebec",House only,104.58,105815.0,1011.81,14745.0,482.0,0011 - Legislators,140.99,576.4,136.96,136.95,0.73,1.77,1.88
2020,Alberta,"Calgary, Alberta",Total (house and land),96.42,105815.0,1097.44,6200.0,436.0,0011 - Legislators,64.3,580.87,136.96,136.95,0.73,1.77,1.88
2021,Ontario,"Guelph, Ontario",Total (house and land),121.17,152280.0,1256.75,22675.0,475.0,0011 - Legislators,187.13,721.94,141.61,141.61,3.4,2.91,2.65
2023,British Columbia,"Victoria, British Columbia",Total (house and land),120.58,181960.0,1509.04,13760.0,470.0,0011 - Legislators,114.12,811.58,157.11,157.11,3.89,3.89,4.02
2015,Ontario,"Oshawa, Ontario",Land only,0.0,96265.0,,23515.0,475.0,0011 - Legislators,,,126.57,126.56,1.13,1.63,1.77
2015,British Columbia,"Kelowna, British Columbia",Land only,0.0,96265.0,,7465.0,470.0,0011 - Legislators,,,126.57,126.56,1.13,1.63,1.77
2016,Quebec,Quebec,Total (house and land),99.33,103720.0,1044.2,12770.0,482.0,0011 - Legislators,128.56,586.38,128.37,128.38,1.44,1.82,1.99
2016,Manitoba,Manitoba,Land only,99.17,103720.0,1045.88,6310.0,409.0,0012 - Senior government managers and officials,63.63,554.76,128.37,128.38,1.44,1.82,1.99
2016,British Columbia,British Columbia,Total (house and land),98.5,103720.0,1052.99,10115.0,470.0,0011 - Legislators,102.69,577.84,128.37,128.38,1.44,1.82,1.99
2018,Alberta,Alberta,Total (house and land),99.08,117625.0,1187.17,5060.0,436.0,0011 - Legislators,51.07,619.12,133.38,133.36,2.27,1.94,1.88
2020,Alberta,"Edmonton, Alberta",Total (house and land),97.17,105815.0,1088.97,6200.0,436.0,0011 - Legislators,63.81,576.39,136.96,136.95,0.73,1.77,1.88
2022,Alberta,Alberta,Total (house and land),116.0,168235.0,1450.3,5205.0,436.0,0011 - Legislators,44.87,747.58,151.24,151.24,6.8,5.25,4.84
2023,Saskatchewan,Saskatchewan,House only,109.83,181960.0,1656.74,7140.0,386.0,0012 - Senior government managers and officials,65.01,860.88,157.11,157.11,3.89,3.89,4.02
2016,British Columbia,British Columbia,Land only,99.25,103720.0,1045.04,10115.0,470.0,0011 - Legislators,101.91,573.48,128.37,128.38,1.44,1.82,1.99
2018,Nova Scotia,Nova Scotia,Total (house and land),101.17,117625.0,1162.65,3115.0,391.0,0012 - Senior government managers and officials,30.79,596.72,133.38,133.36,2.27,1.94,1.88
2018,British Columbia,"Victoria, British Columbia",House only,102.83,117625.0,1143.88,12395.0,470.0,0011 - Legislators,120.54,632.21,133.38,133.36,2.27,1.94,1.88
2019,Ontario,Ontario,Total (house and land),104.33,126555.0,1213.03,29875.0,475.0,0011 - Legislators,286.35,749.69,135.98,135.97,1.94,2.05,2.01
2015,Nova Scotia,"Halifax, Nova Scotia",Land only,98.92,96265.0,973.16,1970.0,391.0,0012 - Senior government managers and officials,19.92,496.54,126.57,126.56,1.13,1.63,1.77
2020,Ontario,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),111.5,105815.0,949.01,17775.0,475.0,0011 - Legislators,159.42,554.22,136.96,136.95,0.73,1.77,1.88
2021,New Brunswick,"Saint John, Fredericton, and Moncton, New Brunswick",House only,111.08,152280.0,1370.9,4175.0,369.0,"0013 - Senior managers - financial, communications and other business services",37.59,704.25,141.61,141.61,3.4,2.91,2.65
2023,British Columbia,British Columbia,House only,126.25,181960.0,1441.27,13760.0,470.0,0011 - Legislators,108.99,775.13,157.11,157.11,3.89,3.89,4.02
2016,Quebec,"Québec, Quebec",House only,99.5,103720.0,1042.41,12770.0,482.0,0011 - Legislators,128.34,585.38,128.37,128.38,1.44,1.82,1.99
2016,Ontario,"St. Catharines-Niagara, Ontario",Land only,98.42,103720.0,1053.85,25565.0,475.0,0011 - Legislators,259.75,656.8,128.37,128.38,1.44,1.82,1.99
2017,Quebec,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),100.0,108870.0,1088.7,15475.0,482.0,0011 - Legislators,154.75,621.73,130.42,130.43,1.6,1.44,1.63
2022,Ontario,"Toronto, Ontario",House only,113.75,168235.0,1478.99,29435.0,475.0,0011 - Legislators,258.77,868.88,151.24,151.24,6.8,5.25,4.84
2022,Ontario,"Toronto, Ontario",Land only,117.0,168235.0,1437.91,29435.0,475.0,0011 - Legislators,251.58,844.75,151.24,151.24,6.8,5.25,4.84
2015,Ontario,"Toronto, Ontario",House only,88.08,96265.0,1092.93,23515.0,475.0,0011 - Legislators,266.97,679.95,126.57,126.56,1.13,1.63,1.77
2016,,Canada,Total (house and land),98.25,103720.0,1055.67,,,,,,128.37,128.38,1.44,1.82,1.99
2016,Nova Scotia,Nova Scotia,House only,98.67,103720.0,1051.18,2955.0,391.0,0012 - Senior government managers and officials,29.95,540.57,128.37,128.38,1.44,1.82,1.99
2016,Manitoba,"Winnipeg, Manitoba",Total (house and land),98.42,103720.0,1053.85,6310.0,409.0,0012 - Senior government managers and officials,64.11,558.98,128.37,128.38,1.44,1.82,1.99
2016,Manitoba,"Winnipeg, Manitoba",Land only,99.17,103720.0,1045.88,6310.0,409.0,0012 - Senior government managers and officials,63.63,554.76,128.37,128.38,1.44,1.82,1.99
2020,Ontario,"Guelph, Ontario",Total (house and land),109.92,105815.0,962.65,17775.0,475.0,0011 - Legislators,161.71,562.18,136.96,136.95,0.73,1.77,1.88
2022,Alberta,Prairie Region,House only,123.5,168235.0,1362.23,5205.0,436.0,0011 - Legislators,42.15,702.19,151.24,151.24,6.8,5.25,4.84
2019,Newfoundland and Labrador,Newfoundland and Labrador,Land only,99.58,126555.0,1270.89,1245.0,310.0,0012 - Senior government managers and officials,12.5,641.7,135.98,135.97,1.94,2.05,2.01
2021,Alberta,"Calgary, Alberta",Total (house and land),105.17,152280.0,1447.94,3710.0,436.0,0011 - Legislators,35.28,741.61,141.61,141.61,3.4,2.91,2.65
2022,British Columbia,"Victoria, British Columbia",House only,131.08,168235.0,1283.45,12545.0,470.0,0011 - Legislators,95.7,689.58,151.24,151.24,6.8,5.25,4.84
2015,Nova Scotia,"Halifax, Nova Scotia",House only,98.42,96265.0,978.1,1970.0,391.0,0012 - Senior government managers and officials,20.02,499.06,126.57,126.56,1.13,1.63,1.77
2017,Prince Edward Island,Prince Edward Island,Land only,100.0,108870.0,1088.7,730.0,250.0,0011 - Legislators,7.3,548.0,130.42,130.43,1.6,1.44,1.63
2018,Quebec,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,100.42,117625.0,1171.33,17045.0,482.0,0011 - Legislators,169.74,670.54,133.38,133.36,2.27,1.94,1.88
2019,New Brunswick,New Brunswick,House only,101.17,126555.0,1250.91,2225.0,369.0,"0013 - Senior managers - financial, communications and other business services",21.99,636.45,135.98,135.97,1.94,2.05,2.01
2019,Ontario,"Windsor, Ontario",House only,106.25,126555.0,1191.11,29875.0,475.0,0011 - Legislators,281.18,736.15,135.98,135.97,1.94,2.05,2.01
2020,Ontario,"St. Catharines-Niagara, Ontario",Land only,108.58,105815.0,974.53,17775.0,475.0,0011 - Legislators,163.7,569.12,136.96,136.95,0.73,1.77,1.88
2021,British Columbia,"Vancouver, British Columbia",Total (house and land),120.17,152280.0,1267.2,9615.0,470.0,0011 - Legislators,80.01,673.61,141.61,141.61,3.4,2.91,2.65
2022,Saskatchewan,Saskatchewan,Land only,99.17,168235.0,1696.43,8910.0,386.0,0012 - Senior government managers and officials,89.85,893.14,151.24,151.24,6.8,5.25,4.84
2022,British Columbia,"Vancouver, British Columbia",Land only,121.0,168235.0,1390.37,12545.0,470.0,0011 - Legislators,103.68,747.03,151.24,151.24,6.8,5.25,4.84
2023,,Canada,House only,127.67,181960.0,1425.24,,,,,,157.11,157.11,3.89,3.89,4.02
2023,British Columbia,British Columbia,Land only,119.42,181960.0,1523.7,13760.0,470.0,0011 - Legislators,115.22,819.46,157.11,157.11,3.89,3.89,4.02
2015,Quebec,Quebec,House only,98.25,96265.0,979.8,13220.0,482.0,0011 - Legislators,134.55,557.18,126.57,126.56,1.13,1.63,1.77
2017,Alberta,"Calgary, Alberta",House only,99.5,108870.0,1094.17,5980.0,436.0,0011 - Legislators,60.1,577.14,130.42,130.43,1.6,1.44,1.63
2019,Ontario,Ontario,Land only,106.5,126555.0,1188.31,29875.0,475.0,0011 - Legislators,280.52,734.42,135.98,135.97,1.94,2.05,2.01
2019,Manitoba,Manitoba,Total (house and land),104.17,126555.0,1214.89,8615.0,409.0,0012 - Senior government managers and officials,82.7,648.8,135.98,135.97,1.94,2.05,2.01
2020,Quebec,"Sherbrooke, Quebec",Total (house and land),103.5,105815.0,1022.37,14745.0,482.0,0011 - Legislators,142.46,582.42,136.96,136.95,0.73,1.77,1.88
2021,British Columbia,"Vancouver, British Columbia",House only,118.17,152280.0,1288.65,9615.0,470.0,0011 - Legislators,81.37,685.01,141.61,141.61,3.4,2.91,2.65
2022,Ontario,"Greater Sudbury, Ontario",House only,121.5,168235.0,1384.65,29435.0,475.0,0011 - Legislators,242.26,813.46,151.24,151.24,6.8,5.25,4.84
2016,New Brunswick,New Brunswick,Total (house and land),98.58,103720.0,1052.14,1285.0,369.0,"0013 - Senior managers - financial, communications and other business services",13.04,532.59,128.37,128.38,1.44,1.82,1.99
2018,Ontario,"Greater Sudbury, Ontario",Total (house and land),99.83,117625.0,1178.25,27435.0,475.0,0011 - Legislators,274.82,726.54,133.38,133.36,2.27,1.94,1.88
2019,,Canada,Land only,104.0,126555.0,1216.88,,,,,,135.98,135.97,1.94,2.05,2.01
2018,Prince Edward Island,Prince Edward Island,House only,99.92,117625.0,1177.19,1080.0,250.0,0011 - Legislators,10.81,594.0,133.38,133.36,2.27,1.94,1.88
2018,New Brunswick,New Brunswick,House only,100.75,117625.0,1167.49,1715.0,369.0,"0013 - Senior managers - financial, communications and other business services",17.02,592.26,133.38,133.36,2.27,1.94,1.88
2018,Ontario,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),103.0,117625.0,1141.99,27435.0,475.0,0011 - Legislators,266.36,704.18,133.38,133.36,2.27,1.94,1.88
2022,Quebec,"Sherbrooke, Quebec",Land only,104.0,168235.0,1617.64,17755.0,482.0,0011 - Legislators,170.72,894.18,151.24,151.24,6.8,5.25,4.84
2022,Ontario,"Guelph, Ontario",Total (house and land),124.0,168235.0,1356.73,29435.0,475.0,0011 - Legislators,237.38,797.06,151.24,151.24,6.8,5.25,4.84
2022,Ontario,"Guelph, Ontario",Land only,108.0,168235.0,1557.73,29435.0,475.0,0011 - Legislators,272.55,915.14,151.24,151.24,6.8,5.25,4.84
2023,Ontario,"St. Catharines-Niagara, Ontario",House only,129.5,181960.0,1405.1,29680.0,475.0,0011 - Legislators,229.19,817.15,157.11,157.11,3.89,3.89,4.02
2015,Ontario,"London, Ontario",Total (house and land),96.0,96265.0,1002.76,23515.0,475.0,0011 - Legislators,244.95,623.86,126.57,126.56,1.13,1.63,1.77
2018,Nova Scotia,Nova Scotia,House only,101.75,117625.0,1156.02,3115.0,391.0,0012 - Senior government managers and officials,30.61,593.31,133.38,133.36,2.27,1.94,1.88
2022,Quebec,"Montréal, Quebec",Total (house and land),150.0,168235.0,1121.57,17755.0,482.0,0011 - Legislators,118.37,619.97,151.24,151.24,6.8,5.25,4.84
2015,Manitoba,"Winnipeg, Manitoba",Land only,98.58,96265.0,976.52,4105.0,409.0,0012 - Senior government managers and officials,41.64,509.08,126.57,126.56,1.13,1.63,1.77
2016,Ontario,"Windsor, Ontario",House only,96.67,103720.0,1072.93,25565.0,475.0,0011 - Legislators,264.46,668.7,128.37,128.38,1.44,1.82,1.99
2017,British Columbia,British Columbia,Land only,102.58,108870.0,1061.32,10470.0,470.0,0011 - Legislators,102.07,581.69,130.42,130.43,1.6,1.44,1.63
2018,Nova Scotia,Atlantic Region,House only,99.83,117625.0,1178.25,3115.0,391.0,0012 - Senior government managers and officials,31.2,604.73,133.38,133.36,2.27,1.94,1.88
2018,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",Total (house and land),98.33,117625.0,1196.23,1100.0,310.0,0012 - Senior government managers and officials,11.19,603.71,133.38,133.36,2.27,1.94,1.88
2019,Nova Scotia,Atlantic Region,Land only,99.92,126555.0,1266.56,4485.0,391.0,0012 - Senior government managers and officials,44.89,655.73,135.98,135.97,1.94,2.05,2.01
2020,Ontario,"St. Catharines-Niagara, Ontario",Total (house and land),110.25,105815.0,959.77,17775.0,475.0,0011 - Legislators,161.22,560.5,136.96,136.95,0.73,1.77,1.88
2020,Alberta,Alberta,Land only,100.0,105815.0,1058.15,6200.0,436.0,0011 - Legislators,62.0,560.08,136.96,136.95,0.73,1.77,1.88
2021,Ontario,"Guelph, Ontario",House only,129.67,152280.0,1174.37,22675.0,475.0,0011 - Legislators,174.87,674.62,141.61,141.61,3.4,2.91,2.65
2022,Ontario,"Oshawa, Ontario",Land only,114.0,168235.0,1475.75,29435.0,475.0,0011 - Legislators,258.2,866.98,151.24,151.24,6.8,5.25,4.84
2022,Ontario,"London, Ontario",Total (house and land),146.83,168235.0,1145.78,29435.0,475.0,0011 - Legislators,200.47,673.13,151.24,151.24,6.8,5.25,4.84
2023,Alberta,Prairie Region,Land only,105.5,181960.0,1724.74,6605.0,436.0,0011 - Legislators,62.61,893.68,157.11,157.11,3.89,3.89,4.02
2015,Quebec,"Montréal, Quebec",Total (house and land),98.17,96265.0,980.59,13220.0,482.0,0011 - Legislators,134.66,557.63,126.57,126.56,1.13,1.63,1.77
2016,Quebec,Quebec,Land only,99.33,103720.0,1044.2,12770.0,482.0,0011 - Legislators,128.56,586.38,128.37,128.38,1.44,1.82,1.99
2017,Ontario,"Greater Sudbury, Ontario",Land only,99.25,108870.0,1096.93,26770.0,475.0,0011 - Legislators,269.72,683.33,130.42,130.43,1.6,1.44,1.63
2018,Ontario,Ontario,Land only,106.0,117625.0,1109.67,27435.0,475.0,0011 - Legislators,258.82,684.25,133.38,133.36,2.27,1.94,1.88
2021,Alberta,Prairie Region,House only,106.17,152280.0,1434.3,3710.0,436.0,0011 - Legislators,34.94,734.62,141.61,141.61,3.4,2.91,2.65
2023,Newfoundland and Labrador,Newfoundland and Labrador,Land only,102.0,181960.0,1783.92,4520.0,310.0,0012 - Senior government managers and officials,44.31,914.12,157.11,157.11,3.89,3.89,4.02
2017,Ontario,"Greater Sudbury, Ontario",Total (house and land),99.0,108870.0,1099.7,26770.0,475.0,0011 - Legislators,270.4,685.05,130.42,130.43,1.6,1.44,1.63
2018,Quebec,"Sherbrooke, Quebec",House only,99.75,117625.0,1179.2,17045.0,482.0,0011 - Legislators,170.88,675.04,133.38,133.36,2.27,1.94,1.88
2020,Nova Scotia,"Halifax, Nova Scotia",Land only,101.67,105815.0,1040.77,4250.0,391.0,0012 - Senior government managers and officials,41.8,541.29,136.96,136.95,0.73,1.77,1.88
2022,Ontario,"London, Ontario",House only,155.0,168235.0,1085.39,29435.0,475.0,0011 - Legislators,189.9,637.65,151.24,151.24,6.8,5.25,4.84
2015,Ontario,"St. Catharines-Niagara, Ontario",House only,91.42,96265.0,1053.0,23515.0,475.0,0011 - Legislators,257.22,655.11,126.57,126.56,1.13,1.63,1.77
2016,British Columbia,British Columbia,House only,98.25,103720.0,1055.67,10115.0,470.0,0011 - Legislators,102.95,579.31,128.37,128.38,1.44,1.82,1.99
2017,Ontario,"London, Ontario",Land only,100.0,108870.0,1088.7,26770.0,475.0,0011 - Legislators,267.7,678.2,130.42,130.43,1.6,1.44,1.63
2019,Ontario,"Hamilton, Ontario",House only,105.5,126555.0,1199.57,29875.0,475.0,0011 - Legislators,283.18,741.38,135.98,135.97,1.94,2.05,2.01
2019,British Columbia,"Kelowna, British Columbia",House only,103.92,126555.0,1217.81,15480.0,470.0,0011 - Legislators,148.96,683.39,135.98,135.97,1.94,2.05,2.01
2021,Prince Edward Island,"Charlottetown, Prince Edward Island",Land only,103.0,152280.0,1478.45,2050.0,250.0,0011 - Legislators,19.9,749.18,141.61,141.61,3.4,2.91,2.65
2021,Ontario,"Oshawa, Ontario",House only,118.17,152280.0,1288.65,22675.0,475.0,0011 - Legislators,191.88,740.27,141.61,141.61,3.4,2.91,2.65
2022,British Columbia,"Kelowna, British Columbia",Land only,118.0,168235.0,1425.72,12545.0,470.0,0011 - Legislators,106.31,766.02,151.24,151.24,6.8,5.25,4.84
2015,Saskatchewan,"Saskatoon, Saskatchewan",Total (house and land),102.0,96265.0,943.77,4945.0,386.0,0012 - Senior government managers and officials,48.48,496.13,126.57,126.56,1.13,1.63,1.77
2016,Newfoundland and Labrador,Newfoundland and Labrador,Total (house and land),99.92,103720.0,1038.03,1180.0,310.0,0012 - Senior government managers and officials,11.81,524.92,128.37,128.38,1.44,1.82,1.99
2019,Prince Edward Island,Prince Edward Island,Total (house and land),101.0,126555.0,1253.02,1490.0,250.0,0011 - Legislators,14.75,633.89,135.98,135.97,1.94,2.05,2.01
2019,Ontario,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,114.5,126555.0,1105.28,29875.0,475.0,0011 - Legislators,260.92,683.1,135.98,135.97,1.94,2.05,2.01
2021,Prince Edward Island,"Charlottetown, Prince Edward Island",House only,119.58,152280.0,1273.46,2050.0,250.0,0011 - Legislators,17.14,645.3,141.61,141.61,3.4,2.91,2.65
2022,Quebec,Quebec,Land only,119.75,168235.0,1404.89,17755.0,482.0,0011 - Legislators,148.27,776.58,151.24,151.24,6.8,5.25,4.84
2015,Saskatchewan,"Regina, Saskatchewan",House only,101.5,96265.0,948.42,4945.0,386.0,0012 - Senior government managers and officials,48.72,498.57,126.57,126.56,1.13,1.63,1.77
2018,Quebec,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,101.75,117625.0,1156.02,17045.0,482.0,0011 - Legislators,167.52,661.77,133.38,133.36,2.27,1.94,1.88
2020,Ontario,"Windsor, Ontario",Total (house and land),109.5,105815.0,966.35,17775.0,475.0,0011 - Legislators,162.33,564.34,136.96,136.95,0.73,1.77,1.88
2021,Manitoba,"Winnipeg, Manitoba",House only,129.25,152280.0,1178.18,7220.0,409.0,0012 - Senior government managers and officials,55.86,617.02,141.61,141.61,3.4,2.91,2.65
2022,Quebec,"Montréal, Quebec",Land only,125.42,168235.0,1341.37,17755.0,482.0,0011 - Legislators,141.56,741.46,151.24,151.24,6.8,5.25,4.84
2022,Saskatchewan,"Saskatoon, Saskatchewan",Land only,98.42,168235.0,1709.36,8910.0,386.0,0012 - Senior government managers and officials,90.53,899.94,151.24,151.24,6.8,5.25,4.84
2015,Saskatchewan,"Regina, Saskatchewan",Land only,96.42,96265.0,998.39,4945.0,386.0,0012 - Senior government managers and officials,51.29,524.84,126.57,126.56,1.13,1.63,1.77
